wgEncodeAwgTfbsSydhK562Atf3UniPk.narrowPeak	ATF4_DBD
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak	ATF4_DBD
wgEncodeAwgTfbsSydhK562Atf106325UniPk.narrowPeak	ATF7_DBD
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk.narrowPeak	BHLHE41_full
wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk.narrowPeak	CEBPB_full
wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak	CTCF_full
wgEncodeAwgTfbsUwK562CtcfUniPk.narrowPeak	CTCF_full
wgEncodeAwgTfbsUtaK562CtcfUniPk.narrowPeak	CTCF_full
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk.narrowPeak	E2F7_DBD
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk.narrowPeak	E2F7_DBD
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk.narrowPeak	E2F7_DBD
wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk.narrowPeak	EGR1_DBD
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk.narrowPeak	ELF1_DBD
wgEncodeAwgTfbsSydhK562Elk112771IggrabUniPk.narrowPeak	ELK1_DBD_2
wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk.narrowPeak	ETS1_DBD_1
wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk.narrowPeak	GATA3_DBD
wgEncodeAwgTfbsSydhK562Gata1UcdUniPk.narrowPeak	GATA4_DBD
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk.narrowPeak	GATA4_DBD
wgEncodeAwgTfbsSydhK562Irf1Ifna6hUniPk.narrowPeak	IRF8_full
wgEncodeAwgTfbsSydhK562Irf1Ifng30UniPk.narrowPeak	IRF8_full
wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk.narrowPeak	IRF9_full
wgEncodeAwgTfbsSydhK562MaffIggrabUniPk.narrowPeak	MAFF_DBD
wgEncodeAwgTfbsSydhK562MaxIggrabUniPk.narrowPeak	MAX_DBD_2
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak	MAX_DBD_2
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk.narrowPeak	MEF2A_DBD
wgEncodeAwgTfbsSydhK562Nfe2UniPk.narrowPeak	NFE2_DBD
wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk.narrowPeak	NR2F1_DBD_3
wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk.narrowPeak	NRF1_full
wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk.narrowPeak	RFX5_DBD_2
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk.narrowPeak	SP1_DBD
wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk.narrowPeak	SP4_full
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk.narrowPeak	SRF_full
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk.narrowPeak	TEAD4_DBD
wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk.narrowPeak	USF1_DBD
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk.narrowPeak	USF1_DBD
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk.narrowPeak	YY1_full
wgEncodeAwgTfbsSydhK562Yy1UcdUniPk.narrowPeak	YY1_full
wgEncodeAwgTfbsHaibK562Yy1V0416102UniPk.narrowPeak	YY1_full
wgEncodeAwgTfbsHaibK562Zbtb7asc34508V0416101UniPk.narrowPeak	ZBTB7A_DBD
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk.narrowPeak	ZNF143_DBD
